Puzzle,Solution Count,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
5.237.....3.1.2.....7....8....4..2.7.68.2.13..4......5..5..........6..7.....175..,1,25,37,19,2,0,0,0,0,0,Intermediate,
.8..9.....1....8.........39...9...54..4..3...278.4.9...4..72...7.1.8...5.3.4....2,1,26,41,12,0,0,0,0,2,6,Expert,
..2....1..4.2..67.9....63...13...7.....9.3.252.95....6....792.....3...4....6..9.3,1,28,38,15,0,0,0,0,0,0,Easy,
2..4....69......43.7....52..4.5......5..82.6.73...9...5..7.6.......98...........7,1,24,50,7,0,0,0,0,0,0,Easy,
1...9.....7...4.834..6.39.....17...9.834....7..9.384...4..5............8.5....6..,1,26,42,12,4,2,2,0,1,2,Expert,
8..4...7...5...6.3..2.13..4..36.15....73.........45....51.2.....7...4...3..1.7.2.,1,27,32,22,5,0,0,0,0,0,Intermediate,
.9.....6.71.6...5....1..3....9..8.125..2.....2..3..8..9.6....78....72.9..3....5..,1,26,41,14,0,0,0,0,0,0,Easy,
1.......6....9..5.47....318.9..37....5..8....6.4.15.8...3...84......9..1......695,1,27,41,13,1,0,0,0,0,0,Intermediate,
.4..6.8.575.........6.9...3........138....5....4673.9....5....7...38...9.....4...,1,24,50,7,0,0,0,0,0,0,Easy,
..5.....2..7.1..9..3..9.57..1423975..5...8.29...7.............4....7.1....3.8....,1,26,41,13,1,0,3,0,1,2,Expert,
........6......87.7.....35.3.42..9...658..4.....9....5.2..7..4..7...8.6.4....2..3,1,25,38,15,4,0,2,0,3,12,Expert,
...5.3...2.7....4.........1...827..9....91.5....4....8..19..8...4.35...28.2..439.,1,27,50,4,0,1,0,1,0,0,Intermediate,
1...4.......8.9..3.9.1.6.5...6..4.9.78..........36.....34.....5..57.8........1...,1,23,53,5,0,0,0,0,0,0,Easy,
.5837....2.7.8.5...9..5....7.....3...34....7.....1..854.5........3.9...2...2.1...,1,25,44,11,4,3,2,1,1,2,Expert,
..34..9.1..9.3.52...6.5.......3.4......1.5.3..2.......4...7.....9.5.217........54,1,25,39,17,0,0,0,0,0,0,Easy,
9.67.34......6..3.3.84.........9...8.2.34...1.......6.....2..7.2...891........6..,1,24,32,24,1,0,0,0,1,2,Expert,
.7.........4..17.65...4..2.18.4.527.2.............759.9......1..4......87..5.9...,1,25,32,23,2,0,0,0,1,0,Expert,
5..34..29...2....39....14.......79...7.1....2...65.....4...315..9..6...7......2..,1,25,44,12,0,1,2,0,0,0,Intermediate,
.1.57....97426..1......9.......9..2..5....4....9845.6.79...6...........226.4.19..,1,28,41,11,4,0,0,2,1,0,Expert,
....4..87..4.29.3....3.7..9.2..38..........761..79......1.....8.67.1..2..32.....4,1,27,41,13,0,0,4,0,0,0,Intermediate,
9.8...52.......7...2.........528..3.6..9.3..4...5.78.6......67..563.....89.......,1,25,50,6,0,0,0,0,0,0,Easy,
13.....5..9.......4.2..8.....4.9..6.2...451..3.68.1....2...3.485.3..6..98...1....,1,28,47,6,0,0,0,0,0,0,Easy,
86..1.7.9....6.4..9...3...........87......1.61.....93..8.9...2......6..46..2.78..,1,25,48,8,0,0,0,0,0,0,Easy,
..6.5..8...16..7.357...2..9...1......3..659....2739.............5.9..6.1......3.8,1,26,42,11,1,0,0,1,2,2,Expert,
.2...9..53.1......5...2.89..453..6......45..26..2...1.9.8...4.......8....1.......,1,24,43,12,4,1,3,1,2,2,Expert,
..87...9..1..48...724.9.....3..7....9.2.14..3...2.......3.27...........44.7531..2,1,28,38,15,0,0,5,0,0,0,Intermediate,
.2..9.....6...3.58......61...1.....7......981792.....5...1...9....2..8...835.6...,1,25,28,27,1,1,2,0,1,0,Expert,
..4..5.6...782..4....1..5...2...8..7...56...8...91.256..8....742....1...4..6.....,1,27,42,12,0,0,0,0,0,0,Easy,
47.....5.5...1....3..24..9...547...99.3..8.42..73...8..........8....1.7......9.21,1,27,37,16,0,0,0,0,1,2,Expert,
..28..........7...1.6..........9..4..98..46..36.1..7.2.1.98...72.......3.8.6.....,1,24,40,17,0,0,0,0,0,0,Easy,
..85..3.11.2...4.5..9.2......51...43.7.8.....9...42.7....2.3.1....4.............7,1,25,51,5,0,0,0,0,0,0,Easy,
.8..6.......1..96.6.....1.3..34.8.9...1.5.7....7...8.437..........3...59....8....,1,24,41,16,0,0,0,0,0,0,Easy,
...8..7.1......9..43....5..697.....3.58...16..........71.35.4...8394......4....5.,1,26,39,16,0,0,0,0,0,0,Easy,
..3..........64.....435..1..8..1.946.3..7...559....7....8...6...6..4..89.4.......,1,25,32,24,0,0,0,0,0,0,Easy,
5.........8.....1..7139.8..7.4.8.35......59....39..2..9.51.2...2...........45....,1,25,37,18,5,0,0,1,1,2,Expert,
.7..6..2..1.8.237.....4.56.3..5....2.6..3..5.............4...3.28...7.......567..,1,25,40,16,0,0,0,0,0,0,Easy,
...4....3.58......32.......74....5.9..1...2.7..91........79..4.9..3.2..52.....8..,1,24,38,19,1,0,0,0,0,0,Intermediate,
5.4.....89.31...46.6.2.3......631..5...4.2......58....1...26.....58...6984.......,1,28,40,13,3,1,1,0,0,0,Intermediate,
7......2.1..7.45...35......349..........3..1........76......7.927..6.....513..4..,1,24,35,22,2,0,1,0,0,0,Intermediate,
.....1.......7.........9..1..6.3....8....67..4.7..8.922..6..41.3....4278..9....3.,1,25,44,12,0,0,0,0,0,0,Easy,
7.........8.3..7..5...........53.8.7.5.7...41...41...68.9...6.5.........1.6.4..89,1,25,47,9,1,0,0,0,0,0,Intermediate,
...17..32..2.6....87.....4...1...3.....5...2.286...51.5..4.......3...8...2.35....,1,25,40,16,0,0,0,0,0,0,Easy,
..........6..9..4.1.7..6....25..89...8.7....6.4..1..52....5...7...2.....4..67...5,1,24,47,10,1,0,0,0,0,0,Intermediate,
..85.6....3.28....5...1.32..8...16....1.........8...7...542....62....53.1.......7,1,25,31,24,0,0,1,0,1,0,Expert,
8.56.1......7.....1..........3.5.1.6.1..9.5......7..9...9.6.81..5.....72.3.8.2...,1,25,36,19,3,0,1,0,1,0,Expert,
.....6....3....46..82..1.7...13.5.4..4..8..5135..6.28....8.2....7.4.......8......,1,26,40,14,1,1,0,1,1,2,Expert,
.......8.....71...37........8..9..6.52..631.9...2....8.1.........791...26...3.5..,1,24,53,4,0,0,0,0,0,0,Easy,
.2....8..4..93.....97.8.53.27.4....9.3...5..6....27.8....3..97......8....4.......,1,25,48,8,0,0,0,0,0,0,Easy,
.41......8.361...979..........4.7.26...8...9....9..3.8.84.2.1....2......67.......,1,25,33,23,0,0,0,0,0,0,Easy,
.1..7.5..8..21..7.6.2...8..9.7.....8.8..6..59......32.....2.16...6....93.5......7,1,27,34,18,3,0,0,0,2,0,Expert,
...3..19...1...5...2.84......2....47.7....2..3.......8.1..379.....9.8..1.432.....,1,25,42,14,0,0,0,0,0,0,Easy,
....4...25........74........3.75.9......9274.9......21.52..9.1...3.24..88...7....,1,26,47,8,0,0,0,0,0,0,Easy,
21.4..9..9....38....7.....17.89.2.3...23.54..3...4........5....4.9......8....1...,1,25,28,28,0,0,0,0,0,0,Easy,
5.3...67.89.6...3.1......5...5...8.3..9.1.......4.3..7...3..........816....964...,1,25,37,18,0,0,3,0,1,0,Expert,
....2...3...9.3.......6..8...7...1..5......9.168.5.2...83..6.1..1.3.27..6..5.....,1,25,37,16,2,0,2,0,3,2,Expert,
.132....8.2..145..64.3..2.1.6...........8........2..6.7.2.....5..465...3.8....7..,1,26,45,10,0,0,0,0,0,0,Easy,
3..4.9.71.7.18..2..9...7.......9......3..2....62.3...94...1.....1....3.6.279....8,1,27,37,16,1,1,1,1,1,2,Expert,
...7.6......2...57....8.....7512.38...8...2...2.9....6...53.7.2..3..15.....8...3.,1,26,42,13,1,0,0,0,0,0,Intermediate,
.5.9.......1........4..73.......3.8.27..98....9.7.1.....9.2.5.1...5...2....8...49,1,24,54,3,0,0,0,0,0,0,Easy,
1..6.23.9............1.36..83.....6.6.4.....3.....52...43...9.5..8......9.....1..,1,23,40,18,1,0,0,0,0,0,Intermediate,
29...5..771.8..6...6...4..1.2....15.....56.8.....4..7.5....92.....421..........6.,1,26,43,12,0,0,2,0,0,0,Intermediate,
....6..5..4....2.....15.9......73.9.76....5.4..25..6.1......4.....71..6.6...39...,1,25,46,10,2,0,0,0,0,0,Intermediate,
72.3..8.5...6.2.....5...3...8....5.11...9.....3..7.29.8...319...5..69......5.....,1,26,40,14,0,0,1,0,1,0,Expert,
.79.5..8...8..9..66..8.19..8......1...39..57.5.2.7...3......7.8.....7......63....,1,26,36,19,1,0,0,0,0,0,Intermediate,
.....5...273....5.6.9.2...1...6...8.1...8..26...73.9..5...6.....8...9...792.1....,1,26,37,16,2,0,5,0,2,2,Expert,
8.4.......3..8.1...5.6.3...6...9..1..4.2.859.2...5......214......9...2..3....9.6.,1,26,33,22,2,0,0,1,0,0,Intermediate,
..3..2.51..95..3..7...............9.5.......2.1.9...652..7.35..3....9.4...51.6.2.,1,26,29,26,0,0,0,0,0,0,Easy,
..2..1......3.2.1..5....3..76....5...39.2.67.2....3..8.....9863..6.....95..8.....,1,26,39,16,0,0,0,0,0,0,Easy,
.....5....587..........4..9.3...78.19.186...38..35..........4.....97.3....3...765,1,26,37,17,0,0,0,0,1,2,Expert,
..948.....78.364..5.197.....8....51...6.......9....738.6..4.18..5.3.............5,1,27,50,4,1,0,0,0,0,0,Intermediate,
45..3....7.8.24....3.8.....5....2.68.2....3.9....49..7..46857.......7.....6.9....,1,27,41,13,0,0,0,0,0,0,Easy,
......5....9....73......2...7.54..2...56....7...2.34....63...9..8...9.4.5.37..6.8,1,26,42,13,0,0,0,0,0,0,Easy,
6..........865.79...93..5...84.....59......2..67.......9......2..5...3.78..7...56,1,25,41,15,0,0,0,0,0,0,Easy,
.7.....3.....4....4..918..67.3...1..12.78.3..6.........4..2.9.....879........628.,1,26,35,18,0,1,3,0,2,8,Expert,
..5.........3.6...41.....9....53...25...7.46.2..4.....3......75...1...46..7...1..,1,23,34,24,0,0,0,0,0,0,Easy,
3....5..26.....84..8....5......3...4........9....6.275..7953..8..6.4.......7...3.,1,24,42,15,0,1,1,0,0,0,Intermediate,
..1....4.3..7..81.7...4...5638...7...751....81......26467...2............2..84...,1,27,37,17,1,0,0,0,0,0,Intermediate,
.3.9.6..7..8......7.6....4845....8.......94.....3...51....5....6......1.1.....569,1,24,42,15,0,0,3,0,0,0,Intermediate,
..9.257..26......3...49......1...9..3...............6..56.12..7.2.5.....17.9.65..,1,25,36,19,3,0,0,0,1,0,Expert,
87.543..2.....8..1....7....2..8............27.453.....3.89..1..9..4..........23..,1,24,40,17,0,0,0,0,0,0,Easy,
..971..62...284...........4..7..941..91.7..585..8..6..74.5...2.........9...1.....,1,27,54,0,0,0,0,0,0,0,Simple,
.9.5....2..4......8.1............96......84..6.9.4.2584....1..75.29.......6..4...,1,24,49,8,0,0,0,0,0,0,Easy,
............176...81..92....75..9.6.....6.......3.8...9.7...5..1.6...32.23..8....,1,24,43,14,0,0,0,0,0,0,Easy,
..95..6...54.6...171...4..8.7.........5679.2..2.....1.....18.9.....2.5.7.........,1,25,42,14,0,0,0,0,0,0,Easy,
.57..49.3...938..2.....7.4.3.9....28.7....4.5...7.1.....45...97.....9......2.....,1,26,38,16,1,0,0,0,1,0,Expert,
15.....3..9..3.1..3.8..2.69.267.....9....875.8..95..12.....782..............1.9..,1,28,51,2,0,0,0,0,0,0,Easy,
9.......8..53.72.9.6..9...4.274.....48.23.7...5.8.........4358.......4...7.9.....,1,27,35,18,0,0,1,0,1,2,Expert,
.1.97...3..6....8......5...7..1....4..93..6......5..1.39.74..6.......3......6..59,1,24,35,22,0,0,0,0,0,0,Easy,
..76..3.....18..........7968........1..7....5...4..63...........5.36.41...6.5...9,1,23,35,23,0,0,0,0,0,0,Easy,
..94....22.8.5...7....7...66.......8...8....54....6.9.5....8..3.7....52..3...9...,1,24,35,22,0,0,0,0,0,0,Easy,
8.4..9.6...6.1....9...6...163..5...............913.5..5...73....4.6...7...1.4..93,1,26,36,19,0,0,0,0,0,0,Easy,
8.........1....596.....1.3.75.3...14..974..58..3.9.7........48..4....1......3..79,1,27,48,6,1,0,0,0,0,0,Intermediate,
.5...8.....13...7...4.......86...7..5.....4..9...653.8...6......98.5.6.44...8...3,1,25,33,23,0,0,0,0,0,0,Easy,
2......16.......9....6....8..21.6..598..24.....7.9.........9.2.6...4.18.....1...7,1,24,41,16,2,0,3,0,0,0,Intermediate,
........97...3....6.8..4.......7.5.4..75.38.....9..6..9.58.6.4......1.3.1........,1,23,38,20,0,0,0,0,0,0,Easy,
........4...1.7....9......66.8.12.9.34..6...2..73....8.3........7..91...1.68.3.49,1,27,45,9,0,0,0,0,0,0,Easy,
.1...2.........8..58.9..23...4..1.....9.7..5....23..18.9..5...........7...3.8...4,1,23,41,17,0,0,0,0,0,0,Easy,
.......4...3.16.25...48..39.5126.4...3...15..9.6..3.......5......4..9....9.....81,1,27,37,15,1,0,0,0,2,2,Expert,
7.4.....6.........56....79.4....62...5........3..5..6..9......12.31..6....192.5.7,1,25,36,17,0,1,3,1,3,0,Expert,
............7.85..9..5.6.....2.5.......2.91...7.1..45..9..6..4.4.8.....61.....72.,1,24,43,14,0,0,0,0,0,0,Easy,
.2..3.......8..493.....46.........7...9..1..6...672...27.1.3.8..9..8.1.......79..,1,25,44,12,0,0,0,0,0,0,Easy,
....3....4..........12..6..28.59.....5...129.6....24.8.3....9..8...5....1..8....6,1,24,51,6,4,0,0,0,0,0,Intermediate,
3.......1.7.....3..19.....22..1.8..4...9..2...932....5....75.89..1....5.4........,1,24,55,2,0,0,0,0,0,0,Easy,
.58.....2..1.6....7...9.68....7..1..5.9......41........4.1.8..5...67..9.2.59...7.,1,26,51,4,0,0,0,0,0,0,Easy,
.2917......3.5.....8..23.6....3....7....1...82..6....9.98....5....9657.......12..,1,26,40,15,0,0,0,0,0,0,Easy,
.95..7.....792....6....5...98.16..7...28.........5.....1.....4.....916..46.....87,1,25,52,4,0,0,0,0,0,0,Easy,
.6..3..85...2...6..89.4...3.....6...6.3..1.....5....492..8.......4.5......83...1.,1,24,41,16,2,0,1,0,0,0,Intermediate,
3.76.52.85.6..9.3..2..3......8....9...4.578..7..2....6..25...6......6...4..3.....,1,27,43,11,0,0,0,0,0,0,Easy,
.......585..9..3.......6.9..7.18....8.672...321...3.....3...8.......7..9.28....67,1,26,28,24,1,0,2,0,3,12,Expert,
.857..6....45.83..6...9..5..........46793....8.24.5.....92.4....5.....89.........,1,26,28,27,0,0,0,0,0,0,Easy,
....1...9..7.681........23.....536....2.......1...65......813....65...2.7...29..6,1,25,47,9,0,0,0,0,0,0,Easy,
7...93........7.8.8..1...4....4.1..6....328..4..97.2..1......38.7..84..2......79.,1,27,40,14,0,0,0,0,0,0,Easy,
91..7.......18.7...8...2....3...6.......5......9.2.58...29....67.5..3....6.5.....,1,23,47,11,0,0,0,0,0,0,Easy,
.189.2...6..4.53.......8...8536....2...........9.8.....96........25.6.481......5.,1,25,36,20,0,0,0,0,0,0,Easy,
89..1..73.........7...5..89.8.14.........5..73.19..2........8.......3.4.15....9..,1,24,36,21,0,0,0,0,0,0,Easy,
..8.52....15.........6....8..1.3.4...92......58.49.1.2..63....1......83..4..2...9,1,26,30,25,0,0,0,0,0,0,Easy,
5.4821..3...5468.....3.......3.7....1..634...4....8..234.....6...2.6.5..8....5...,1,28,38,11,1,0,1,1,4,4,Expert,
..9..1....5.3.2....2..7...9...2.7.......495...6..5.1.27....5.4...29..36.1........,1,25,39,14,2,0,3,0,3,2,Expert,
37.15........92.....4...5....6..37.5.4297..1.....1.9...65.....71372......9.......,1,27,35,19,0,0,0,0,0,0,Easy,
2.....39.37...52..4...1...8.91....7......2..5..4..9....5..78.3.9.7......1........,1,24,46,11,0,0,0,0,0,0,Easy,
2..15.9...9.......6.7..3..44...325.1...5...4.36.4..7...29.....6.....7.....3...1..,1,26,44,8,2,0,0,0,3,0,Expert,
.45.....3.......1.21....4.54..31..5..3.4.2..9.7.9.8..2..87...3..9....8.......1...,1,26,46,8,4,0,0,1,1,6,Expert,
5.73.2....1...7..9..3..6....2.86...........1...95.3..8.51......6.......5..89...72,1,25,40,16,0,0,0,0,0,0,Easy,
.6..1..9...19...4.24...6..3.7...2..........2....1.9....3....9.....843..7.2...76.4,1,25,32,23,0,0,0,0,1,2,Expert,
.1.....3..674.....8...7..5.27...86..58.13...2......1.........1.4.....3...2......7,1,23,57,1,0,0,0,0,0,0,Easy,
6..9.27....9..6.12.241..65...5...4.........2..6....3.173..6.5..........35......6.,1,26,55,0,0,0,0,0,0,0,Simple,
....8..........6....65418......36..58.....41.5..........915...31....3..4.....47..,1,23,42,16,1,0,0,0,0,0,Intermediate,
..38..5..1....5..7..53.468....6.7.4..6.45.93....9....19.............6......78....,1,25,54,2,0,0,0,0,0,0,Easy,
3.4...7..6.78...51.1..96..3.5...3.4....685..........6....357...1........9....1..7,1,26,37,18,0,0,0,0,0,0,Easy,
..3.7.5...6.21....5...6.8...5.4..2.........3..12.3......7.....18.......4...1....6,1,22,39,20,0,0,0,0,0,0,Easy,
..6.5...33........8.....65.54..1.8..1...639..........7.....5....7.....8691..8.7..,1,24,39,17,1,0,0,1,1,2,Expert,
......1.....9.63..1.....465.....37.9.397.52............1..5..27.67..9....53..1...,1,26,24,30,0,0,1,0,1,0,Expert,
1...9.3.......6.2....23.9....4.87.9..2...1.6...93..4.1...7.4....46.1..32....2...8,1,28,48,5,0,0,0,0,0,0,Easy,
.......62..7.85....146......6.....3.1.24.........37....4..5..2....1.....3..84..16,1,24,29,25,1,0,0,2,3,2,Expert,
...97.2...9.......352..1.8.61.....3.......8.....36.5.9.2.8..6......57.2.13.......,1,25,48,7,1,0,1,2,1,2,Expert,
.1.9...8..86.2.........5.....26.83...6....7..7.8..32.....5..6.3...7......5.8.1..7,1,25,44,12,3,1,2,3,0,0,Intermediate,
.9.6.7..5..4..2..7.5.9.8.6.2..1..6....68..94.8..5....1.......2..6.......7....5...,1,25,40,16,0,0,0,0,0,0,Easy,
.2......14...1.....7.43...23....5..7.9....42..5..67.3....5.....91.......6.....9..,1,23,44,13,2,1,0,0,1,0,Expert,
.7.5.3.......7....35......1..769......51..3.7..9.8..6....8..6...134......6..19...,1,25,45,11,0,0,0,0,0,0,Easy,
..95.....13.2..4.8......5...7...2...2.8..4.....1....7.5....13....7..8..5..37.528.,1,26,42,12,0,0,2,1,1,0,Expert,
2...1.49.........2..9..7.1.....7....94..62.5.7...4.62....3.5.41...42..39.........,1,26,42,13,0,0,0,0,0,0,Easy,
..1.....927.5.1..8.....74.......3..28.....9......8.7....3.7....5.289..3..1.....2.,1,24,31,26,0,0,0,0,0,0,Easy,
4.......8.....169.............5...2..4..29...82.6.41.5..4.8.....6.39...22..1..85.,1,26,45,8,2,2,3,2,2,2,Expert,
...6...3.8.....1.5......9.4.....56..1...9...7......8...5.3.7...71...6..863.18....,1,24,41,13,1,0,0,0,3,2,Expert,
..1......67.....2..........7...9...2...8..4...9...581..8.6.7..415...2..79...1...6,1,24,44,13,0,0,0,0,0,0,Easy,
...7...4.1..8...2..57.....67..2..8.1..........813.....5.2.7..3.3..46.2........7.4,1,25,34,18,2,3,2,1,4,2,Expert,
..5.....8.2.3..75..7....6...6....2......5..1.3128......5......7..8.....39..61..2.,1,24,44,13,0,0,0,0,0,0,Easy,
......735...52.....8..34.6.......6.....1.6.432...4...1..3.5.....7.....84...7.2...,1,24,53,4,0,0,0,0,0,0,Easy,
5.83.9.....3.6.4.1.16..4.........89..39..67.4.......56...498.......5..43.....3...,1,27,40,14,0,0,0,0,0,0,Easy,
8..79.6...6......1.718....3...1.23....7.63.8..14.7..2....2.........3....6.....9..,1,25,47,9,0,0,0,0,0,0,Easy,
58....6...7...93.4.....37....193...7.....4...7...8.......1.74...5......9....6..1.,1,23,53,5,0,0,0,0,0,0,Easy,
71.3..4........95...6..4.......1.3.....4.7........6.....419..6.35.7.21.4..9..37..,1,26,39,14,1,0,0,0,2,2,Expert,
..5..97...1.......3.....2....9...1....1...5..6...4.....6...532.42.7..9..9...32.17,1,25,49,7,1,0,0,0,0,0,Intermediate,
6..2.8......4..8.74.3.....5...7.....2..5......581.2.3..2..........37..1.51....47.,1,25,38,14,0,1,0,0,4,4,Expert,
