Puzzle,Solution,
9..3.......4.....6...1.9.2..2653..8939..8...4..5...6...3..4.2..5........6.....5..,967324815214758396853169427426537189391286754785491632139645278542873961678912543,
..9.16.4.3.85....6..7....9.......3854..3.5......76....75......4......6......9....,529816743348579216617234598176942385492385167835761429751628934984153672263497851,
.5...2....9.....8...7.......7.6.....8.....2...637.8.5.6...8753....4...6..28.5.94.,356872419291564783487193625572641398814935276963728154649287531735419862128356947,
.67......8....149.9..8...6.74........2..5...4..1....8..5..7...6..2...1..6.....95.,267549831835761492914832765746183529328957614591426387159378246482695173673214958,
..3..5.2...4...9.7.1.......38..91.45..9.7.8..1.54.......2.5...8..81...9.49..2....,873965124524318967916742583387291645249576831165483279732659418658134792491827356,
...2.....8.37.9.....9.365.8...54.........8..39.....7..25..7......4..5..73.7...9.4,546281379813759462729436518632547891475198623981623745258974136194365287367812954,
45..9..3.7...63.4.2..8...9.9....4..............2.87....7..3...43..6...7...6..2..5,458791632719263548263845197981324756547916823632587419875139264324658971196472385,
3..84..6.....12.38.1973..42246...1...9...1....................7..14..69..2.3.9...,372845961465912738819736542246573189793681425158294376934168257581427693627359814,
2...6.....8...1.724.....8...3.8169..9.............7.4.67..9......1.....7....2..9.,217368459389541672465279813734816925958432761126957348672193584591684237843725196,
.2.5.1..6....8.3...3.6......1....5.29....8....7...6.3...1..9.6.....6.2....92....5,827531496196482357435697128613974582942358671578126934251849763384765219769213845,
.2.6....3....2....5..8.1..4..9.....8......6..86....9..3..1.8..56..23.1.9.1...98..,128647593946523781573891264259476318731985642864312957397168425685234179412759836,
...3.....2.4...7.......1..4.8...2..9.3.8..57..95.74.....1....3..2...7.5....9..2..,768349125214658793359721864187532649432896571695174382971265438823417956546983217,
.........4.7.....6...98..5.3.94...6......78.4..42..5.7......2.37.6......538......,195726348487531926263984751379458162652317894814269537941675283726893415538142679,
..2.......37.56..16...42.3.......185........2..8..74...4..6.....13.8.2.4.......18,192378546437956821685142739974623185351894672268517493849261357513789264726435918,
..74.9...93......8...6..2.....39...5..87..6...2..8.9..57...2..3..3......4........,287459361936217458154638279741396825398725614625184937579862143863541792412973586,
1....8..4..3....8...9.4..63..5....3......16...2...4.......86.....1...42.53...2.18,162938574743615982859247163415869237398721645627354891274186359981573426536492718,
..67........3.68..2.9.18..5.1..7.92.7...........5......62...3..3.....617.5..3..8.,586792431471356892239418765615874923723961548948523176862147359394285617157639284,
...2.7...3.6...4..9.......1....456..4....19..7.......2...1..72...9.6...51.4....6.,541297836326518497987634251892745613465321978713986542638159724279463185154872369,
.4..1.....25..634....7.2....5..7..34...1.4..6..35....9.3..2....6.....29.1........,948315672725986341361742985856279134297134856413568729539627418674851293182493567,
.....3.4.14.5....3....9.2..........5.1..2......345.128..7..8.1..2.34..79.5.7....4,795283641142576983386194257278631495514829736963457128437968512621345879859712364,
86.......2..9...8..9.1...76.1..93..563..5......87......5..3.......5.6.....7..8...,861347952274965381395182476712693845639854127548721639456239718183576294927418563,
.....5.7.........87.58..4.1...6....4......68....2...9...2.6..59...1.82...4.72.16.,823415976461972538795836421259683714314597682687241395172364859936158247548729163,
....64...13.........48.1..9.28.4....3...5.9....9..65..4.5................86193..5,892764153137529864654831729528947631361258947749316582415672398973485216286193475,
.68.........4......3.1.........9...7.9....3.....684.59.7.....454.57.3.6...9....1.,768952431152437896934168572841395627596271384327684159673819245415723968289546713,
3...2.8...451...6.....85......49...2.3...2.1...1....5..5.2.......9......6.8....9.,316924875845173269792685431567491382934852617281736954153269748479318526628547193,
.8.6..75.6..1..98.5.7........1.7...9..689..7......26........8..........1...38..92,189624753632157984547938216851476329426893175973512648315249867298765431764381592,
........76.....9....49.7.2...7.....2....38......5..39.7.52......23.94..8....8..3.,958326417672841953314957826537469182249138765861572394785213649123694578496785231,
1..89.......3...7.6392.4.....8.6..2.4.69..7.12.......4.........9...1..47......3..,175896432824351679639274158718465923456932781293187564387649215962513847541728396,
....5.9.....82...........6..54....9.2639...1..9......48.9.6.32...524.......3....5,486153972917826453532479168154732896263984517798615234849567321375241689621398745,
..2....4......13.....3581.....8..9.4.7..69.....8..2.3.52.1.3...4.....2.9.......1.,132976548856241397794358162261835974375469821948712635527193486413687259689524713,
..9.53..8..8.7.93..7..1.4.5.42.8..197..2......9......4.3....5..2....1.4........8.,429653178518472936673918425342586719751249863896137254137864592285391647964725381,
.78.3.........9...924..6.8..6928..14..........1...7.......78..1.4..21.....63...79,578432196631859742924716385769283514853164927412597863295678431347921658186345279,
.........213...7..98...5.63....62...5...7.12............9..8..21..5..37.7.8..3.5.,645237891213689745987415263491362587536874129872951436359748612124596378768123954,
1...38...6.4.....37..41...9......4......6....4..9....7..1..679..7....5..3..58....,159638274684792153723415869915273486237864915468951327541326798876149532392587641,
......52.......9.6...9...18...6.....6..1..3...7..38....21.7...3.975..6...8..9...1,139864527248715936765923418813659274652147389974238165521476893397581642486392751,
9.57........26.4...4.......3...2.1.77..5...9...6..............5.7.63..14.32.....9,965743821817269453243851976358924167724516398196387542681492735579638214432175689,
....1..3.8.6..27..1..3.92..........9.......12..41...6.7......489.8.26...6....3...,492817536836542791157369284561234879389675412274198365723951648948726153615483927,
........2.2.4.9......6..38......5.3.23.8..659.94.1.....489.........6.......12.49.,865731942123489567479652381786295134231847659594316728648973215912564873357128496,
...42.1...48..3..2.5....63...3.5.81..8...29.51..9.........6.........9.....9.48...,396425187748613592251897634923754816684132975175986243837261459412579368569348721,
12....9..84........5.482..1....2....9..67.......9.1.........2.65...4.....1.85..74,127365948846197532359482761781524693934678125265931487498713256573246819612859374,
8....4....538..72......7..5....435........3.8........2..7.298...1.3.5294.3.......,871254936453896721926137485182743569765912348394568172547629813618375294239481657,
..8..2..39....82.7.1.9....8...58....5.1...8...........785.3.9..3.4.2......2.5..4.,478612593956348217213975468649583172521764839837291654785436921364129785192857346,
9.......8..8...137.......2..9.7..6..61...9..5..5..28...2.....1...7..1352..9..5...,951237468268594137374186529892753641613849275745612893526378914487961352139425786,
46.....5.9.5.267.......5........7..3....4.2.5..6...9......1...75.2.7..91..9...3..,463791852915826734827435619258967143791348265346152978634219587582673491179584326,
..1.27........4...9..8..7....8......547.9.3...9....4...85.....1..9.13..43...4..2.,651927843872354196934861752168435279547192368293786415485279631729613584316548927,
..768.3...5.....2..6..13..96...5........6...12..9...7.1.......75.....29......9.8.,927685314351794628864213759619357842475862931283941576192538467548176293736429185,
53..2...1.48....5.1.....3..85.....43.7....58..........4...12....6.5.3..4...78..16,537928461648137259192456378856279143974361582213845697489612735761593824325784916,
7...4.2...5....9..49..32..1......5.....76...3..3...1.......76..9..1......1.5.3..9,781945236352671948496832751279318564145769823863254197538497612924186375617523489,
.....8.4126...3....8.4.....54....8.........7.81..2..3.....37......81.2..63....78.,759268341264173958183459627547391862392685174816724539928537416475816293631942785,
82...751.......7.44..8....9..9...14...5...3...8...2.97.5....8.3.7..5....9........,823497516596231784417865239269783145745916328381542697654129873178354962932678451,
..5..2..3..1....5.......1.2.6....4..........1.82...3.5..3.5.9..2.9.86...5...24..8,795162843421893657638547192367215489954638271182479365843751926279386514516924738,
..8.1...6.2........3..2..853...5..14.5....9.82........46..31..........42..1..9...,948517236625384791137926485389752614754163928216498357462831579893675142571249863,
......62898.45...............4.8..9....3..7..3..24....8.......243....95..7..9.3.6,145937628982456137763128549614785293528369714397241865859613472436872951271594386,
.27...1...1.......3.....6...5437....6..24...7...8.5.....3..87.6...75.........12.8,827463195416597382395182674954376821681249537732815469143928756268754913579631248,
5..8.....7....6......3.....3.8..4..5.64..8..9..2.3.4...2.6....3...5....4.3....952,516842397743196528289375641378964215164258739952731486425619873897523164631487952,
...7....8175.....49..5..2..2......5..4.18......6......7....8...8.4.....6..9.541..,432796518175832964968541273281463759547189632396275841713628495854917326629354187,
.2...6...........9..9...645...5..2..53.9.....9..7.4..3......56...4.2.........31.2,425396781617845329389271645741538296538962417962714853273189564154627938896453172,
.34.9.7....9...4..5.......8...........31......71.8.....6...9.7..9.41.6..4..3.5.81,234698715789251436516734298842573169953146827671982543165829374398417652427365981,
..4..1...9..65421..2.....5.3..8.9.....13.........45..8819..3......46......5......,754231986938654217126987354347819625581326749692745138819573462273468591465192873,
.....9.7.76.....95..4...3.6...3..4...4327.8..98.6...5.8.........3.8..5...5.7.....,328569174761483295594127386675398421143275869982641753817954632239816547456732918,
.2.3.4....5....8..7.1...36.....86..23...4...........1....2....1....5..7...87.3...,826394157953671824741825369179586432365142798284937615437269581612458973598713246,
.98...1...46.........7......87..6...9....3.4...38.7..9.74.1..8..2...8..6...9..23.,298635174746281593135749862587496321962153748413827659674312985329578416851964237,
..52..14..6....7.37...1...............6....8.2374..5........8..4..32......1.7.42.,895237146162984753743615298584163972916752384237498561629541837478329615351876429,
3........6.....19...1..9.2..5...3....3..612..1.97.5....451..7..7....2..3....4....,394218567672354198581679324456923871837461259129785436945136782718592643263847915,
.....4.....7.6...98.........3...5.82.6.7........8....3.735.89......9......43.2.5.,396284517527163849841957236739645182268731495415829763673518924152496378984372651,
2.....3...56.....9..9..2..56...1.7..937........8...5.6....79.285.2..........3.6.1,241695387356781249879342165625813794937456812418927536163579428582164973794238651,
47...25.......43...32...9..65....2...2..4..7...3........9.76..12....9....4.....3.,471392568965784312832651947654817293128943675793265184389576421217439856546128739,
....9....51.24.3.66....5...9....3..2.2..169...4..5....49..8....2.......5..13..4..,832697541519248376674135289965473812327816954148952637496581723283764195751329468,
